time,dgfs,darome,dicon7,dir,temp
2025-11-20 17:00:00,3.9,0.6,0.4,162,6.8
2025-11-20 18:00:00,2.5,0.6,0.5,117,5.7
2025-11-20 19:00:00,2.3,0.8,0.2,225,5.8
2025-11-20 20:00:00,4.9,0.1,0.4,30,5.9
2025-11-20 21:00:00,3.4,0.6,0.2,147,4.8
2025-11-20 22:00:00,3.4,0.1,0.2,87,3.0
2025-11-20 23:00:00,5.1,1.2,0.2,66,3.2
2025-11-21 00:00:00,5.8,0.1,0.1,54,2.1
2025-11-21 01:00:00,5.4,0.0,0.8,86,1.7
2025-11-21 02:00:00,1.7,2.1,2.7,65,1.6
2025-11-21 03:00:00,5.3,2.0,3.3,59,1.0
2025-11-21 04:00:00,2.7,2.4,2.1,85,0.6
2025-11-21 05:00:00,0.1,0.6,1.2,91,0.0
2025-11-21 06:00:00,1.7,0.6,1.3,50,0.0
2025-11-21 07:00:00,2.6,0.6,1.2,83,0.3
2025-11-21 08:00:00,4.0,3.9,1.4,93,4.3
2025-11-21 09:00:00,4.0,3.5,1.4,5,4.7
2025-11-21 10:00:00,0.6,1.2,0.3,232,6.8
2025-11-21 11:00:00,2.5,5.0,6.7,225,7.6
2025-11-21 12:00:00,4.9,6.0,7.5,232,7.8
2025-11-22 19:00:00,3.4,3.4,1.8,65,4.0
2025-11-22 22:00:00,4.8,0.5,3.2,258,4.6
2025-11-23 01:00:00,2.7,0.9,1.9,93,3.0
2025-11-23 04:00:00,2.9,2.8,1.5,61,3.9
2025-11-23 07:00:00,2.8,2.7,1.6,278,3.6
2025-11-23 10:00:00,0.8,0.1,0.6,247,9.1
2025-11-22 17:00:00,3.2,2.7,2.0,68,4.1
2025-11-22 18:00:00,3.0,2.9,1.2,57,5.1
2025-11-22 20:00:00,3.5,1.8,2.0,62,4.1
2025-11-22 21:00:00,4.7,2.0,3.1,68,3.8
2025-11-22 23:00:00,4.4,0.7,2.9,64,4.2
2025-11-23 00:00:00,3.3,0.6,1.8,321,4.5
2025-11-23 02:00:00,3.5,0.8,2.0,321,3.4
2025-11-23 03:00:00,3.0,0.6,1.7,0,3.7
2025-11-23 05:00:00,3.4,4.1,1.4,145,2.7
2025-11-23 06:00:00,2.9,4.1,1.5,41,3.0
2025-11-23 08:00:00,1.8,0.8,1.6,349,4.7
2025-11-23 09:00:00,2.4,0.9,1.3,211,7.4
2025-11-23 11:00:00,0.7,1.1,0.1,253,10.4
2025-11-23 12:00:00,0.1,1.7,0.0,259,11.7
2025-11-23 13:00:00,0.3,0.5,0.5,254,11.3
2025-11-23 14:00:00,0.7,0.4,0.8,249,10.6
2025-11-23 15:00:00,1.9,1.3,2.5,246,10.6
2025-11-23 16:00:00,2.4,2.4,1.8,268,9.9
2025-11-23 17:00:00,2.9,0.8,0.9,268,9.7
2025-11-23 18:00:00,3.4,0.4,1.1,271,9.7
2025-11-23 19:00:00,3.2,1.3,1.9,262,9.7
2025-11-23 20:00:00,2.3,0.9,1.7,247,9.9
2025-11-23 21:00:00,2.2,1.0,1.7,261,10.0
2025-11-23 22:00:00,2.1,2.2,1.6,275,10.0
2025-11-23 23:00:00,2.7,2.0,1.7,258,9.9
2025-11-24 00:00:00,5.2,2.7,3.0,242,9.6
2025-11-24 01:00:00,2.1,0.9,1.0,242,9.8
2025-11-24 02:00:00,3.4,2.1,2.0,266,10.1
2025-11-24 03:00:00,3.9,2.5,3.0,261,9.9
2025-11-24 04:00:00,2.1,0.2,1.7,245,9.6
2025-11-24 05:00:00,2.2,1.1,2.0,245,9.7
2025-11-24 07:00:00,5.3,1.8,2.9,256,9.6
2025-11-24 10:00:00,5.7,4.2,3.6,246,12.9
2025-11-24 13:00:00,10.4,5.6,9.7,250,13.4
2025-11-24 16:00:00,11.7,6.9,9.6,253,13.8
2025-11-24 19:00:00,5.8,2.3,4.0,277,11.7
2025-11-24 22:00:00,1.5,3.5,1.2,75,11.1
2025-11-25 01:00:00,1.6,1.0,2.3,123,10.3
2025-11-25 04:00:00,2.9,2.6,1.4,1,8.6
2025-11-25 07:00:00,3.1,2.5,1.4,55,6.8
2025-11-25 10:00:00,1.7,0.8,0.8,257,12.3
2025-11-24 06:00:00,4.0,1.7,3.5,275,9.7
2025-11-24 08:00:00,2.8,1.6,0.3,244,10.6
2025-11-24 09:00:00,5.2,3.2,3.8,268,11.9
2025-11-24 11:00:00,7.9,7.0,8.7,255,14.1
2025-11-24 12:00:00,7.0,2.1,6.8,260,13.9
2025-11-24 14:00:00,9.8,5.1,10.4,259,13.3
2025-11-24 15:00:00,10.7,3.1,10.6,245,14.0
2025-11-24 17:00:00,11.1,6.8,11.0,273,12.6
2025-11-24 18:00:00,10.3,7.0,9.3,290,12.0
2025-11-24 20:00:00,4.4,4.1,3.6,291,11.4
2025-11-24 21:00:00,2.6,3.8,1.5,271,11.4
2025-11-24 23:00:00,1.5,1.9,0.3,100,11.5
2025-11-25 00:00:00,1.5,2.0,0.4,142,11.0
2025-11-25 02:00:00,1.9,3.1,0.1,25,10.1
2025-11-25 03:00:00,3.0,1.7,0.9,36,9.2
2025-11-25 05:00:00,2.8,2.8,1.2,75,6.8
2025-11-25 13:00:00,2.6,0.8,0.4,242,12.2
2025-11-25 16:00:00,2.3,0.1,1.3,131,10.4
2025-11-25 19:00:00,0.2,0.8,0.2,84,7.2
2025-11-25 22:00:00,4.6,0.3,1.3,228,7.6
2025-11-26 01:00:00,5.0,2.5,0.5,46,5.0
2025-11-26 04:00:00,5.5,0.0,2.1,58,3.7
2025-11-26 07:00:00,5.7,0.1,3.0,94,4.3
2025-11-26 10:00:00,0.9,4.0,2.3,248,9.7
2025-11-26 13:00:00,0.9,1.8,5.2,255,12.0
2025-11-26 16:00:00,7.2,3.2,2.4,79,9.1
2025-11-26 19:00:00,4.7,0.1,1.6,76,4.4
2025-11-26 22:00:00,3.7,0.2,1.9,68,4.8
2025-11-25 06:00:00,1.3,3.5,1.5,84,6.7
2025-11-25 08:00:00,3.0,0.4,0.9,61,8.9
2025-11-25 09:00:00,3.3,0.0,0.0,13,10.1
2025-11-27 01:00:00,5.0,1.3,2.2,73,3.1
2025-11-27 04:00:00,4.5,2.6,1.8,53,3.0
2025-11-25 11:00:00,0.3,0.8,1.0,222,12.6
2025-11-25 12:00:00,1.1,0.4,0.3,214,12.6
2025-11-25 14:00:00,0.1,1.3,0.9,272,13.7
2025-11-25 15:00:00,2.0,0.7,0.2,234,13.8
2025-11-27 07:00:00,2.9,2.4,1.7,65,3.7
2025-11-27 10:00:00,0.3,2.7,1.6,150,9.9
2025-11-25 17:00:00,2.3,0.1,2.0,124,9.2
2025-11-25 18:00:00,0.5,1.2,0.3,88,8.8
2025-11-25 20:00:00,2.5,1.8,0.1,93,6.3
2025-11-25 21:00:00,3.8,0.9,0.1,119,7.8
2025-11-25 23:00:00,6.5,4.1,0.3,10,6.0
2025-11-26 00:00:00,5.8,0.5,0.1,233,5.7
2025-11-26 02:00:00,5.0,1.1,1.7,67,3.7
2025-11-26 03:00:00,5.7,1.3,1.7,70,3.9
2025-11-26 05:00:00,5.1,0.7,1.7,102,3.9
2025-11-26 06:00:00,5.9,1.1,3.1,93,4.4
2025-11-26 08:00:00,6.6,1.4,3.7,63,6.7
2025-11-26 09:00:00,5.2,0.6,2.1,296,8.7
2025-11-26 11:00:00,2.5,2.8,0.3,251,10.6
2025-11-26 12:00:00,3.3,0.7,3.9,275,11.8
2025-11-26 14:00:00,3.1,3.7,5.4,270,12.0
2025-11-26 15:00:00,4.8,2.5,4.0,265,11.5
2025-11-27 13:00:00,1.2,0.8,0.1,181,10.8
2025-11-27 16:00:00,0.8,0.6,1.2,166,7.5
2025-11-27 19:00:00,3.7,0.9,2.2,86,4.5
2025-11-27 22:00:00,3.5,0.2,1.6,74,4.3
2025-11-28 01:00:00,3.8,0.1,1.6,77,4.8
2025-11-28 04:00:00,3.1,0.4,2.3,80,5.5
2025-11-28 07:00:00,3.0,0.1,1.6,71,6.4
2025-11-28 10:00:00,2.2,0.6,1.0,180,11.1
2025-11-26 17:00:00,4.2,0.5,1.0,81,8.3
2025-11-26 18:00:00,5.2,2.7,3.4,70,5.3
2025-11-26 20:00:00,1.9,0.4,1.0,90,4.4
2025-11-26 21:00:00,2.5,0.6,1.0,84,4.6
2025-11-26 23:00:00,3.7,0.2,1.7,78,4.3
2025-11-27 00:00:00,4.5,0.1,1.8,72,4.3
2025-11-27 02:00:00,4.8,2.4,2.0,259,4.1
2025-11-27 03:00:00,4.7,3.5,2.0,233,4.3
2025-11-27 05:00:00,4.1,1.9,1.8,14,4.0
2025-11-27 06:00:00,3.5,1.5,1.8,348,4.9
2025-11-27 08:00:00,2.8,1.2,1.7,93,5.2
2025-11-27 09:00:00,2.9,0.5,1.4,138,7.8
2025-11-27 11:00:00,2.9,0.3,2.6,197,10.1
2025-11-27 12:00:00,0.1,0.4,0.9,182,10.9
2025-11-27 14:00:00,0.2,1.5,0.3,188,10.2
2025-11-27 15:00:00,0.1,0.3,0.8,215,9.5
2025-11-28 13:00:00,1.6,0.8,0.2,224,14.0
2025-11-28 16:00:00,2.4,0.4,1.1,175,10.8
2025-11-28 19:00:00,2.0,0.3,1.3,66,8.8
2025-11-28 22:00:00,2.7,0.5,1.8,64,8.3
2025-11-29 01:00:00,2.8,0.5,1.7,76,8.9
2025-11-29 04:00:00,3.1,0.7,1.6,75,6.8
2025-11-29 07:00:00,3.2,0.2,1.7,75,6.7
2025-11-29 10:00:00,1.6,1.5,0.3,219,13.1
2025-11-27 17:00:00,2.2,0.7,1.6,90,5.5
2025-11-27 18:00:00,2.4,0.0,1.1,86,4.9
2025-11-27 20:00:00,3.0,0.1,1.6,84,4.3
2025-11-27 21:00:00,3.2,0.4,1.7,79,4.5
2025-11-27 23:00:00,2.6,0.9,0.7,70,4.0
2025-11-28 00:00:00,3.6,0.1,1.7,86,3.4
2025-11-28 02:00:00,3.7,0.3,1.7,88,4.4
2025-11-28 03:00:00,3.3,0.2,2.0,77,4.9
2025-11-28 05:00:00,3.9,1.3,3.0,80,5.9
2025-11-29 13:00:00,1.7,2.7,0.2,233,13.8
2025-11-29 16:00:00,2.4,0.3,2.7,244,11.9
2025-11-29 19:00:00,2.3,2.2,0.6,239,9.2
2025-11-29 22:00:00,3.0,1.5,1.4,235,8.5
2025-11-28 06:00:00,4.1,1.0,2.7,68,6.3
2025-11-28 08:00:00,2.4,0.0,1.4,88,6.7
2025-11-28 09:00:00,2.9,1.0,1.9,118,8.3
2025-11-28 11:00:00,0.9,2.9,1.7,213,12.7
2025-11-28 12:00:00,1.1,1.3,0.5,235,12.8
2025-11-30 01:00:00,1.7,2.2,0.0,213,7.9
2025-11-30 04:00:00,3.0,0.2,1.6,81,6.9
2025-11-30 07:00:00,1.5,2.0,0.3,82,9.1
2025-11-30 10:00:00,3.0,2.4,1.9,85,11.6
2025-11-28 14:00:00,0.7,1.0,0.8,239,13.7
2025-11-28 15:00:00,1.8,0.3,0.5,237,13.1
2025-11-28 17:00:00,1.9,0.5,0.6,83,8.6
2025-11-28 18:00:00,1.3,0.0,1.0,61,9.1
2025-11-28 20:00:00,2.7,0.2,1.3,67,8.4
2025-11-28 21:00:00,3.0,0.5,1.6,56,8.9
2025-11-28 23:00:00,2.5,0.5,1.9,72,9.2
2025-11-29 00:00:00,3.7,1.4,3.0,79,9.2
2025-11-29 02:00:00,3.9,1.3,2.6,88,8.1
2025-11-29 03:00:00,3.5,1.3,2.5,63,7.8
2025-11-29 05:00:00,3.1,0.5,1.6,69,6.8
2025-11-30 13:00:00,1.0,1.0,0.8,200,12.0
2025-11-30 16:00:00,0.8,0.3,0.0,73,9.5
2025-11-30 19:00:00,0.1,0.2,1.2,127,8.0
2025-11-30 22:00:00,1.2,0.2,1.2,41,6.3
